time,from_app,from_port,to_app,to_port,txbytes,txpackets,rxbytes,rxpackets,dropbytes,droppackets
1398852528.555909,repeat,output,nic1,rx,0,0,0,0,0,0
1398852528.555909,tee,out2,filter,input,0,0,0,0,0,0
1398852528.555909,tee,out1,limit,input,0,0,0,0,0,0
1398852528.555909,nic2,tx,tee,in,0,0,0,0,0,0
1398852528.555909,filter,output,sink2,in,0,0,0,0,0,0
1398852528.555909,pcap,output,repeat,input,25651,161,0,0,0,0
1398852528.555909,limit,output,sink1,in,0,0,0,0,0,0
1398852529.556230,repeat,output,nic1,rx,253173110,1589054,253173110,1589054,0,0
1398852529.556230,tee,out2,filter,input,249956867,1568864,249956867,1568864,0,0
1398852529.556230,tee,out1,limit,input,249956867,1568864,249956867,1568864,0,0
1398852529.556230,nic2,tx,tee,in,249956867,1568864,249956867,1568864,0,0
1398852529.556230,filter,output,sink2,in,4804075,58467,4804075,58467,0,0
1398852529.556230,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852529.556230,limit,output,sink1,in,249956867,1568864,249956867,1568864,0,0
1398852530.559960,repeat,output,nic1,rx,568986799,3571276,568986799,3571276,0,0
1398852530.559960,tee,out2,filter,input,565771106,3551086,565771106,3551086,0,0
1398852530.559960,tee,out1,limit,input,565771106,3551086,565771106,3551086,0,0
1398852530.559960,nic2,tx,tee,in,565771106,3551086,565771106,3551086,0,0
1398852530.559960,filter,output,sink2,in,10873796,132338,10873796,132338,0,0
1398852530.559960,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852530.559960,limit,output,sink1,in,565771106,3551086,565771106,3551086,0,0
1398852531.556681,repeat,output,nic1,rx,883495133,5545307,883495133,5545307,0,0
1398852531.556681,tee,out2,filter,input,880278890,5525117,880278890,5525117,0,0
1398852531.556681,tee,out1,limit,input,880278890,5525117,880278890,5525117,0,0
1398852531.556681,nic2,tx,tee,in,880278890,5525117,880278890,5525117,0,0
1398852531.556681,filter,output,sink2,in,16918564,205905,16918564,205905,0,0
1398852531.556681,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852531.556681,limit,output,sink1,in,880278890,5525117,880278890,5525117,0,0
1398852532.557756,repeat,output,nic1,rx,1199308822,7527529,1199308822,7527529,0,0
1398852532.557756,tee,out2,filter,input,1196093129,7507339,1196093129,7507339,0,0
1398852532.557756,tee,out1,limit,input,1196093129,7507339,1196093129,7507339,0,0
1398852532.557756,nic2,tx,tee,in,1196093129,7507339,1196093129,7507339,0,0
1398852532.557756,filter,output,sink2,in,22988285,279776,22988285,279776,0,0
1398852532.557756,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852532.557756,limit,output,sink1,in,1196093129,7507339,1196093129,7507339,0,0
1398852533.556190,repeat,output,nic1,rx,1503377129,9436032,1503377129,9436032,0,0
1398852533.556190,tee,out2,filter,input,1500160861,9415842,1500160861,9415842,0,0
1398852533.556190,tee,out1,limit,input,1500160861,9415842,1500160861,9415842,0,0
1398852533.556190,nic2,tx,tee,in,1500160861,9415842,1500160861,9415842,0,0
1398852533.556190,filter,output,sink2,in,28832307,350900,28832307,350900,0,0
1398852533.556190,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852533.556190,limit,output,sink1,in,1477223730,9271879,1477223730,9271879,0,0
1398852534.558026,repeat,output,nic1,rx,1708265508,10722019,1708265508,10722019,0,0
1398852534.558026,tee,out2,filter,input,1705047457,10701829,1705047457,10701829,0,0
1398852534.558026,tee,out1,limit,input,1705047457,10701829,1705047457,10701829,0,0
1398852534.558026,nic2,tx,tee,in,1705047457,10701829,1705047457,10701829,0,0
1398852534.558026,filter,output,sink2,in,32770203,398826,32770203,398826,0,0
1398852534.558026,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852534.558026,limit,output,sink1,in,1577223538,9899566,1577223538,9899566,0,0
1398852535.557201,repeat,output,nic1,rx,1901406116,11934287,1901406116,11934287,0,0
1398852535.557201,tee,out2,filter,input,1898189853,11914097,1898189853,11914097,0,0
1398852535.557201,tee,out1,limit,input,1898189853,11914097,1898189853,11914097,0,0
1398852535.557201,nic2,tx,tee,in,1898189853,11914097,1898189853,11914097,0,0
1398852535.557201,filter,output,sink2,in,36482283,444003,36482283,444003,0,0
1398852535.557201,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852535.557201,limit,output,sink1,in,1677223731,10527236,1677223731,10527236,0,0
1398852536.559244,repeat,output,nic1,rx,2149360744,13490577,2149360744,13490577,0,0
1398852536.559244,tee,out2,filter,input,2146142217,13470387,2146142217,13470387,0,0
1398852536.559244,tee,out1,limit,input,2146142217,13470387,2146142217,13470387,0,0
1398852536.559244,nic2,tx,tee,in,2146142217,13470387,2146142217,13470387,0,0
1398852536.559244,filter,output,sink2,in,41247831,502002,41247831,502002,0,0
1398852536.559244,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852536.559244,limit,output,sink1,in,1779833191,11171298,1779833191,11171298,0,0
1398852537.558105,repeat,output,nic1,rx,2420802454,15194305,2420802454,15194305,0,0
1398852537.558105,tee,out2,filter,input,2417585857,15174115,2417585857,15174115,0,0
1398852537.558105,tee,out1,limit,input,2417585857,15174115,2417585857,15174115,0,0
1398852537.558105,nic2,tx,tee,in,2417585857,15174115,2417585857,15174115,0,0
1398852537.558105,filter,output,sink2,in,46464945,565496,46464945,565496,0,0
1398852537.558105,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852537.558105,limit,output,sink1,in,1879834314,11798973,1879834314,11798973,0,0
1398852538.558982,repeat,output,nic1,rx,2687025497,16865269,2687025497,16865269,0,0
1398852538.558982,tee,out2,filter,input,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,tee,out1,limit,input,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,nic2,tx,tee,in,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,filter,output,sink2,in,51581604,627768,51581604,627768,0,0
1398852538.558982,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852538.558982,limit,output,sink1,in,1978528771,12418473,1978528771,12418473,0,0
1398852539.557378,repeat,output,nic1,rx,2951942821,18528042,2951942821,18528042,0,0
1398852539.557378,tee,out2,filter,input,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,tee,out1,limit,input,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,nic2,tx,tee,in,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,filter,output,sink2,in,56673098,689733,56673098,689733,0,0
1398852539.557378,pcap,output,repeat,input,25651,161,25651,161,0,0
